country,iso2c,year,jw_rank,jw_persr,jw_domr,jw_avgballot,jw_avgpool,jw_avgvote,dem_age,maj,mdmh,totalseats,mdmh.1,mdmhDum,day,month,Video,Start.Footage.,No.start,No.join,TimeToPeak.sec,No.atPeak,RangeNoPeak.low,RangeNoPeak.high,PeakLength.sec,R.involved,R.start,No.Names,No.Injuries,Total,TotalPropSeats
"IRAN, ISLAMIC REPUBLIC OF",IR,1998,NA,4,4,1,1,1,0,1,1.5,270,1.5,District Mag. > 1,18,3,N,N,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,2,0.00740740740740741
ITALY,IT,1981,0,3,3,1,0,1,35,0.571428596973419,2.20000004768372,630,2.20000004768372,District Mag. > 1,5,12,N,N,NA,NA,NA,NA,NA,NA,NA,3+,2,2,0,4,0.00634920634920635
ITALY,IT,1994,0,10,10,1.50793650793651,1.50793650793651,0.753968253968254,48,0.592592597007751,2.20000004768372,621,2.20000004768372,District Mag. > 1,21,10,N,N,NA,NA,NA,NA,NA,NA,NA,12+,~5,2,1,13,0.0209339774557166
ITALY,IT,1994,0,10,10,1.50793650793651,1.50793650793651,0.753968253968254,48,0.592592597007751,2.20000004768372,621,2.20000004768372,District Mag. > 1,22,7,N,N,NA,NA,NA,NA,NA,NA,NA,NA,12+,1,1,NA,NA
ITALY,IT,1998,0,10,10,1.50793650793651,1.50793650793651,0.753968253968254,52,0.450793653726578,2.20000004768372,630,2.20000004768372,District Mag. > 1,29,4,N,N,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,2,0.00317460317460317
ITALY,IT,2010,0,10,10,1.50793650793651,1.50793650793651,0.753968253968254,64,0.546031773090363,22.5,630,22.5,District Mag. > 1,7,7,N,N,NA,NA,NA,NA,NA,NA,NA,Several,2,1,0,5,0.00793650793650794
ITALY,IT,2010,0,10,10,1.50793650793651,1.50793650793651,0.753968253968254,64,0.546031773090363,22.5,630,22.5,District Mag. > 1,14,12,N,N,NA,NA,NA,NA,NA,NA,NA,Several,NA,1,1,5,0.00793650793650794
ITALY,IT,2011,0,10,10,1.50793650793651,1.50793650793651,0.753968253968254,65,0.546031773090363,22.5,630,22.5,District Mag. > 1,26,10,Y,N,2,0,5,2,NA,NA,10,2,2,2,0,2,0.00317460317460317
JORDAN,JO,2007,NA,NA,NA,NA,NA,NA,0,0.836538434028625,2.30999994277954,104,2.30999994277954,District Mag. > 1,8,11,Y,Y,2,0,15,2,NA,NA,5,2,2,2,0,2,0.0192307692307692
JORDAN,JO,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,Y,Y,2,2,30,1,2,4,30,2,2,2,0,1,NA
JAPAN,JP,1987,0,11,11,1,2,2,36,0.60546875,3.90000009536743,512,3.90000009536743,District Mag. > 1,15,4,N,N,NA,NA,NA,NA,NA,NA,NA,"""Several""",NA,1,0,5,0.009765625
JAPAN,JP,1991,0,11,11,1,2,2,40,0.53398060798645,3.90000009536743,515,3.90000009536743,District Mag. > 1,28,11,N,N,NA,NA,NA,NA,NA,NA,NA,"""Several""",NA,0,0,5,0.00970873786407767
JAPAN,JP,2004,0,11,10,1.625,2,1.375,53,0.581250011920929,1.53999996185303,480,1.53999996185303,District Mag. > 1,4,7,N,N,NA,NA,NA,NA,NA,NA,NA,3,3,1,0,3,0.00625
KENYA,KE,1997,NA,10,10,2,2,1,0,0.531914889812469,0.899999976158142,188,0.899999976158142,NA,20,6,N,N,NA,NA,NA,NA,NA,NA,NA,"""Several""",NA,0,0,5,0.0265957446808511
KENYA,KE,1998,NA,10,10,2,2,1,0,0.509523808956146,0.899999976158142,210,0.899999976158142,NA,29,7,Y,N,4,4,14,8,4,8,38,NA,NA,NA,NA,8,0.0380952380952381
"KOREA, REPUBLIC OF",KR,1998,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,11,0.431438118219376,8.60000038146973,299,8.60000038146973,District Mag. > 1,3,3,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA, REPUBLIC OF",KR,2004,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,17,0.42124542593956,8.60000038146973,273,8.60000038146973,District Mag. > 1,13,3,Y,N,4,31,2,35,30,50,40,~20,NA,0,0,35,0.128205128205128
"KOREA, REPUBLIC OF",KR,2004,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,17,0.42124542593956,8.60000038146973,273,8.60000038146973,District Mag. > 1,6,12,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
"KOREA, REPUBLIC OF",KR,2007,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,20,0.508361220359802,1.20000004768372,299,1.20000004768372,District Mag. > 1,15,12,Y,Y,2,38,10,40,30,75,50,~100,NA,0,1,40,0.133779264214047
"KOREA, REPUBLIC OF",KR,2008,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,21,0.508361220359802,1.20000004768372,299,1.20000004768372,District Mag. > 1,26,12,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"KOREA, REPUBLIC OF",KR,2009,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,22,0.511705696582794,1.20000004768372,299,1.20000004768372,District Mag. > 1,22,7,Y,Y,2,6,5,8,NA,NA,30,NA,0,0,1,8,0.0267558528428094
"KOREA, REPUBLIC OF",KR,2009,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,22,0.511705696582794,1.20000004768372,299,1.20000004768372,District Mag. > 1,3,1,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3+,NA,NA
"KOREA, REPUBLIC OF",KR,2009,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,22,0.511705696582794,1.20000004768372,299,1.20000004768372,District Mag. > 1,22,4,Y,N,2,10,15,2,2,30,25,~24,12,0,0,2,0.00668896321070234
"KOREA, REPUBLIC OF",KR,2010,0,10,1,0.374581939799331,0.374581939799331,0.187290969899666,23,0.511705696582794,1.20000004768372,299,1.20000004768372,District Mag. > 1,9,12,Y,Y,20,20,7,40,40,6,50,~40,~40,0,0,40,0.133779264214047
