country,day,month,year,Video,Start Footage?,No.start,No.join,TimeToPeak.sec,No.atPeak,RangeNoPeak.low,RangeNoPeak.high,PeakLength.sec,R.involved,R.start,No.Names,No.Injuries,URL
Russia,15,5,1999,Y,N,2,0,1,2,,,11,"""Dozens""",,0,0,
Russia,16,6,2001,Y,Y,2,0,55,2,,,10,,,,,
Russia,30,3,2005,Y,Y,4,1,5,4,2,5,20,20+,2,1,0,http://www.spike.com/video-clips/rqs3l8/fight-in-russian-parliament
Slovakia,18,9,2013,Y,Y,2,0,16,2,,,3,6,2,2,0,
Somalia,,12,2011,Y,Y,2--4,12,5,14,12,16,20,5+,1,0,0,
Somalia,15,11,2010,Y,N,8,0,8,10,8,12,,,,,,
Somalia,8,9,2009,N,N,,,,,,,,Multiple,0,0,0,
Somalia,17,3,2005,N,N,,,,,,,,"""Lawmakers""",,2,1+,
Somalia,19,9,2013,N,N,,,,,,,,,2,2,0,
Sri Lanka,24,7,2002,N,N,,,,,,,,Several,,0,0,
Sri Lanka,8,6,2004,Y,N,20,25,20,40,35,60,183,5+,5+,2,2,http://www.youtube.com/watch?v=R9l-ammORKQ
Taiwan,13,4,1993,N,N,,,,,,,,~40,2,2,0,
Taiwan,24,6,1993,N,N,,,,,,,,Multiple,2,2,2,
Taiwan,3,6,1994,N,N,,,,,,,,7,2,2,1,
Taiwan,19,7,1995,N,N,,,,,,,,"""Several""",2,1,5,
Taiwan,6,12,1995,N,N,,,,,,,,2+,2,0,0,
Taiwan,29,3,2001,N,N,,,,,,,,2,2,2,0,
Taiwan,7,5,2004,N,N,,,,,,,,2,2,2,0,
Taiwan,26,10,2006,,,,,,,,,,~4,,1,0,http://today.reuters.co.uk/news/newsArticle.aspx?type=oddlyEnoughNews&storyID=2006-05-30T125115Z_01_TP173720_RTRIDST_0_OUKOE-UK-TAIWAN-PARLIAMENT.XML
Taiwan,20,1,2007,Y,Y,2,0,3,2,2,20,15,"""Mass-Brawl",2,3,0,http://www.youtube.com/watch?v=k8QoJ5KElek
Taiwan,8,5,2007,Y,N,50,25,22,75,75,100,38,"""Scores""",,0,0,http://www.youtube.com/watch?v=k8QoJ5KElek
Taiwan,19,1,2010,Y,N,2,0,92,2,,,18,,,0,3,http://www.youtube.com/watch?v=c1OnxUkhE2o
Taiwan,21,4,2010,N,N,,,,,,,,"""Dozens""",,1,1+,
Taiwan,8,7,2010,Y,N,50,0,9,60,40,70,40,~30,,1,2,
Taiwan,2,8,2013,Y,Y,10,0,19,10,,,21,,,0,0,
Thailand,15,5,2009,N,N,,,,,,,,,,,,
Thailand,31,5,2012,Y,Y,1,25,173,30,25,40,4,"""Some""",~3,1,0,http://www.youtube.com/watch?v=ww_TybNdY8A
Thailand ,20,8,2013,Y,N,2,8,1,10,4,20,25,57+,57,1,0,
